Condition,Skew=3 Spearman,Skew=3 JS,Skew=4 Spearman,Skew=4 JS
No redistribution,0.4637716624795524,0.2759468362402003,0.46394038301254853,0.2753854539083371
Paired symmetric control,0.9351826153344741,0.13244401063212877,0.8953509106063026,0.15601768487722775
Learned asymmetric redistribution,0.8952139087002582,0.14028997201210594,0.9098460400968141,0.14649324081364043
